Date,Open,High,Low,Close
04/16/2024,"72,892.14","73,135.43","72,685.03","72,943.68"
04/15/2024,"73,315.16","73,905.80","73,315.16","73,399.78"
04/12/2024,"74,889.64","74,951.88","74,189.31","74,244.90"
04/10/2024,"74,953.96","75,105.14","74,807.55","75,038.15"
04/09/2024,"75,124.28","75,124.28","74,603.37","74,683.70"
04/08/2024,"74,555.44","74,869.30","74,410.07","74,742.50"
04/05/2024,"74,287.02","74,361.11","73,946.92","74,248.22"
04/04/2024,"74,413.82","74,501.73","73,485.12","74,227.63"
04/03/2024,"73,757.23","74,151.21","73,540.27","73,876.82"
04/02/2024,"74,022.30","74,099.78","73,743.77","73,903.91"
04/01/2024,"73,968.62","74,254.62","73,909.39","74,014.55"
03/28/2024,"73,149.34","74,190.31","73,120.33","73,651.35"
03/27/2024,"72,692.16","73,138.73","72,600.73","72,996.31"
03/26/2024,"72,396.97","72,705.29","72,363.03","72,470.30"
03/22/2024,"72,231.66","73,115.62","72,172.09","72,831.94"
03/21/2024,"72,507.36","72,882.46","72,416.03","72,641.19"
03/20/2024,"72,036.86","72,402.67","71,674.42","72,101.69"
03/19/2024,"72,462.94","72,490.09","71,933.35","72,012.05"
03/18/2024,"72,587.30","72,985.89","72,314.16","72,748.42"
03/15/2024,"72,886.77","72,998.07","72,484.82","72,643.43"
03/14/2024,"72,570.10","73,364.30","72,497.19","73,097.28"
03/13/2024,"73,993.40","74,052.75","72,515.71","72,761.89"
03/12/2024,"73,516.42","74,004.16","73,342.12","73,667.96"
03/11/2024,"74,175.93","74,187.35","73,433.91","73,502.64"
03/07/2024,"74,242.74","74,245.17","73,921.48","74,119.39"
03/06/2024,"73,587.70","74,151.27","73,321.48","74,085.99"
03/05/2024,"73,767.42","73,915.54","73,412.25","73,677.13"
03/04/2024,"73,903.09","73,990.13","73,747.01","73,872.29"
03/02/2024,"73,848.19","73,994.70","73,778.14","73,806.15"
03/01/2024,"72,606.31","73,819.21","72,591.14","73,745.35"
02/29/2024,"72,220.57","72,730.00","72,099.32","72,500.30"
02/28/2024,"73,162.82","73,223.11","72,222.29","72,304.88"
02/27/2024,"72,723.53","73,161.30","72,660.13","73,095.22"
02/26/2024,"73,044.81","73,092.26","72,666.82","72,790.13"
02/23/2024,"73,394.44","73,413.93","73,022.00","73,142.80"
02/22/2024,"72,677.51","73,256.39","72,081.36","73,158.24"
02/21/2024,"73,267.48","73,267.80","72,450.56","72,623.09"
02/20/2024,"72,727.87","73,130.69","72,510.24","73,057.40"
02/19/2024,"72,627.60","72,881.93","72,308.68","72,708.16"
02/16/2024,"72,406.02","72,545.33","72,218.10","72,426.64"
02/15/2024,"72,061.47","72,164.97","71,644.44","72,050.38"
02/14/2024,"71,035.25","71,938.59","70,809.84","71,822.83"
02/13/2024,"71,292.08","71,662.74","70,924.30","71,555.19"
02/12/2024,"71,722.31","71,756.58","70,922.57","71,072.49"
02/09/2024,"71,410.29","71,676.49","71,200.31","71,595.49"
02/08/2024,"72,473.42","72,473.42","71,230.62","71,428.43"
02/07/2024,"72,548.50","72,559.21","71,938.22","72,152.00"
02/06/2024,"71,970.82","72,261.40","71,625.18","72,186.09"
02/05/2024,"72,269.12","72,385.93","71,602.14","71,731.42"
02/02/2024,"71,977.56","73,089.40","71,948.77","72,085.63"
02/01/2024,"71,998.78","72,151.02","71,574.89","71,645.30"
01/31/2024,"71,073.04","71,851.39","70,846.04","71,752.11"
01/30/2024,"72,000.20","72,142.23","71,075.72","71,139.90"
01/29/2024,"70,968.10","72,010.22","70,880.54","71,941.57"
01/25/2024,"71,022.10","71,049.46","70,319.04","70,700.67"
01/24/2024,"70,165.49","71,149.61","70,001.60","71,060.31"
01/23/2024,"71,868.20","72,039.20","70,234.55","70,370.55"
01/20/2024,"72,008.30","72,026.26","71,312.71","71,423.65"
01/19/2024,"71,786.74","71,895.64","71,542.74","71,683.23"
01/18/2024,"71,018.86","71,451.29","70,665.50","71,186.86"
01/17/2024,"71,998.93","72,484.80","71,429.30","71,500.76"
01/16/2024,"73,331.95","73,427.59","72,960.29","73,128.77"
01/15/2024,"73,049.87","73,402.16","72,909.00","73,327.94"
01/12/2024,"72,148.07","72,720.96","71,982.29","72,568.45"
01/11/2024,"71,907.75","71,999.47","71,543.19","71,721.18"
01/10/2024,"71,383.20","71,733.84","71,110.98","71,657.71"
01/09/2024,"71,770.91","72,035.47","71,307.27","71,386.21"
01/08/2024,"72,113.25","72,181.77","71,301.04","71,355.22"
01/05/2024,"72,016.71","72,156.48","71,779.83","72,026.15"
01/04/2024,"71,678.93","71,954.79","71,546.60","71,847.57"
01/03/2024,"71,832.62","71,862.00","71,303.97","71,356.60"
01/02/2024,"72,332.85","72,332.85","71,613.74","71,892.48"
01/01/2024,"72,218.39","72,561.91","72,031.23","72,271.94"
